INFO,Title,Central Nervous System Tumors (CNS) Data Dictionary,,,,,,,,,
INFO,Name,cns_v1.2,,,,,,,,,
INFO,Release Notes,,,,,,,,,,
INFO,Parent Data Model,pcdc_v2.0,,,,,,,,,
INFO,License,Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/),,,,,,,,,
INFO,D4CG Data Modeling Wiki,https://docs.pedscommons.org/,,,,,,,,,
INFO,Disease Consortium Information,https://commons.cri.uchicago.edu/pcdc/,,,,,,,,,
INFO,Description,,,,,,,,,,
INFO,Total Variables,,,,,,,,,,
,,,,,,,,,,,
RowType,VariableName,DataType,Tier,VariableDescription,VariableCode,PermissibleValue,ValueDescription,ValueCode,ImplementationNotes,Mappings,Modeling notes (Will be ignored in processing)
,,,,,,,,,,,
DD,Protocol,,,,,,,,,,
TD,Subject Characteristics,,,,,,,,,,
TG,One row per subject per study,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,"1 - contributors must include, regardless of the resource cost","The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,CONSORTIUM,Enum,"1 - contributors must include, regardless of the resource cost",The consortium under which this data is being contributed to the Pediatric Cancer Data Commons.,ncit:C61538,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,INSPiRE,International Central Nervous System Pediatric Research Consortium (INSPiRE),ncit:C192765,,,
VD,DATA_CONTRIBUTOR_ID,Enum,"1 - contributors must include, regardless of the resource cost",An identifier assigned to a data contributor.,ncit:C168950,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,CBTN,"Children's Brain Tumor Network. A network of member institutions affiliated with Children's Hospital of Philadelphia that is involved in the collection of donated brain tumor tissue and other biosamples, and the development cloud-based data platforms, allowing researchers to access brain tumor data and specimen with the shared goal of improving health outcomes for children and young adults with brain tumors.",ncit:C192778,,,
PD,,,,,,COG,"Children's Oncology Group. An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.",ncit:C39353,,,
PD,,,,,,IDIPGR,International Diffuse Intrinsic Pontine Glioma Registry Case Report Form Questionnaire. Questions used in the case report forms of the international diffuse intrinsic pontine glioma registry for pediatric cancers.,ncit:C180886,,,
PD,,,,,,PNOC,"Pacific Pediatric Neuro-Oncology Consortium. An international consortium committed to understanding how brain tumors develop in children, identifying personalized treatment strategies, and improving health outcomes.",ncit:C192779,,,
PD,,,,,,RBTR,Rare Brain Tumor Registry. An international registry spearheaded by Children's National Hospital that seeks to create an infrastructure for the prospective collection of biospecimens and radiological and clinical data that would allow better understanding of the biologic mechanisms and therapeutic susceptibilities of childhood rare brain tumors and other rare entities.,ncit:C192780,,,
PD,,,,,,SIOPE,European Society for Paediatric Oncology. A pan-European organization representing professionals working in the field of childhood cancers that was originally established in 1998 as the European branch of the International Society of Paediatric Oncology (SIOP) and became an independent organization in 2007.,ncit:C192781,,,
VD,STUDY_ID,Enum,"1 - contributors must include, regardless of the resource cost","A sequence of characters used to identify, name, or characterize the study.",ncit:C83082,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,ACNS0331,Comparison of Radiation Therapy Regimens in Combination With Chemotherapy in Treating Young Patients With Newly Diagnosed Standard-Risk Medulloblastoma. This randomized phase III trial is studying how well standard-dose radiation therapy works compared to reduced-dose radiation therapy in children 3-7 years of age AND how well standard volume boost radiation therapy works compared to smaller volume boost radiation therapy when given together with chemotherapy in treating young patients who have undergone surgery for newly diagnosed standard-risk medulloblastoma. (ClinicalTrials.gov Identifier: NCT00085735),,,,
PD,,,,,,ACNS0332,"Efficacy of Carboplatin Administered Concomitantly With Radiation and Isotretinoin as a Pro-Apoptotic Agent in Other Than Average Risk Medulloblastoma/PNET Patients. This randomized phase III trial studies different chemotherapy and radiation therapy regimens to compare how well they work in treating young patients with newly diagnosed, previously untreated, high-risk medulloblastoma. (ClinicalTrials.gov Identifier: NCT00392327)",,,,
PD,,,,,,ACNS0333,"Treatment of Atypical Teratoid/Rhabdoid Tumors (AT/RT) of the Central Nervous System With Surgery, Intensive Chemotherapy, and 3-D Conformal Radiation. This phase III trial studies the side effects of combination chemotherapy, 3-dimensional conformal radiation therapy, and an autologous peripheral blood stem cell transplant, and to see how well they work in treating young patients with atypical teratoid/rhabdoid tumor of the central nervous system. (ClinicalTrials.gov Identifier: NCT00653068)",,,,
PD,,,,,,ACNS0334,A Phase III Randomized Trial for the Treatment of Newly Diagnosed Supratentorial PNET and High Risk Medulloblastoma in Children <36 Months Old With Intensive Induction Chemotherapy With Methotrexate Followed by Consolidation With Stem Cell Rescue Versus the Same Therapy Without Methotrexate. This randomized phase III trial is studying two different combination chemotherapy regimens to compare how well they work in treating young patients with newly diagnosed supratentorial primitive neuroectodermal tumors or high-risk medulloblastoma when given before additional intense chemotherapy followed by peripheral blood stem cell rescue. It is not yet known which combination chemotherapy regimen is more effective when given before a peripheral stem cell transplant in treating supratentorial primitive neuroectodermal tumors or medulloblastoma. (ClinicalTrials.gov Identifier: NCT00336024),,,,
