INFO,Title,Monogenic Diabetes (MD) Data Dictionary,,,,,,,,,
INFO,Name,,,,,,,,,,
INFO,Release Notes,,,,,,,,,,
INFO,License,Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/),,,,,,,,,
INFO,D4CG Data Modeling Wiki,https://docs.pedscommons.org/,,,,,,,,,
INFO,Disease Consortium Information,https://commons.cri.uchicago.edu/pcdc/,,,,,,,,,
INFO,Description,The MD data dictionary is a consensus data schema built by an international group of monogenic diabetes experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the PREDICT Consortium. It is based on the collective requirements of its contributors.,,,,,,,,,
INFO,Total Variables,,,,,,,,,,
,,,,,,,,,,,
RowType,VariableName,DataType,Tier,VariableDescription,VariableCode,PermissibleValue,ValueDescription,ValueCode,ImplementationNotes,Mappings,Modeling notes (Will be ignored in processing)
,,,,,,,,,,,
DD,Protocol,,,,,,,,,,
TD,Subject Characteristics,,,,,,,,,,
TG,One row per subject,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,"1 - contributors must include, regardless of the resource cost","The identifier assigned to the subject by the honest broker--an individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re-identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker. (Source: NCI Thersaurus)",,_undefined_,_undefined_,_undefined_,,,
VD,DATA_CONTRIBUTOR_ID,Enum,"1 - contributors must include, regardless of the resource cost",An identifier assigned to a data contributor.,,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,UChicago Monogenic Diabetes Research Group,,,,,
PD,,,,,,Barbara Davis Center / UColorado,,,,,
PD,,,,,,Baylor,,,,,
PD,,,,,,Boston Children's,,,,,
PD,,,,,,Cincinnati Children's Hospital,,,,New PD,
PD,,,,,,Indiana,,,,,
PD,,,,,,MGH,,,,,
PD,,,,,,Maryland,,,,,
PD,,,,,,Michigan,,,,,
PD,,,,,,Nebraska,,,,,
PD,,,,,,NorthShore,,,,,
VD,DATA_SOURCE,Enum,"1 - contributors must include, regardless of the resource cost",Indicates where the data is originating from,,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Self-reported,,,,,
PD,,,,,,EHR,,,,,
VD,LAST_KNOWN_SURVIVAL_STATUS,Enum,2 - contributors should priotritize inclusion if resources are available,The last known survival status of the subject.,,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Alive,Showing characteristics of life; displaying signs of life.,,,,
PD,,,,,,Dead,The cessation of life.,,,,
PD,,,,,,Unknown,Reported as unknown by the data contributor.,,,,
PD,,,,,,Not Reported,Not provided or available.,,,,
VD,AGE_LAST_CONTACT,Decimal,2 - contributors should priotritize inclusion if resources are available,The age of the subject at last contact.,,_undefined_,_undefined_,_undefined_,Only applicable for survey source data,,
VD,AGE_LAST_CONTACT_UNIT,Enum,2 - contributors should priotritize inclusion if resources are available,The unit used by the numeric AGE_AT_LAST_CONTACT field.,,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Years,,,,,
PD,,,,,,Months,,,,,
PD,,,,,,Weeks,,,,,
PD,,,,,,Days,,,,,
VD,AGE_LAST_CONTACT_PRECISION,Enum,2 - contributors should priotritize inclusion if resources are available,Indicates whether a recorded AGE_AT_LAST_CONTACT is exact or just an approximation.,,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Approximate,,,,,
PD,,,,,,Exact,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DD,Protocol,,,,,,,,,,
TD,Timing,,,,,,,,,,
TG,One row per subject per timepoint,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,"1 - contributors must include, regardless of the resource cost","The identifier assigned to the subject by the honest broker--an individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re-identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker. (Source: NCI Thersaurus)",,_undefined_,_undefined_,_undefined_,,,
VD,TIMEPOINT,Enum,"1 - contributors must include, regardless of the resource cost",Indicates the diabetes diagnosis event of the subject,,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Prediabetes Diagnosis,,,,,
PD,,,,,,Diagnosis,,,,,
PD,,,,,,Relapse,,,,,
PD,,,,,,Remission,,,,,
VD,AGE_AT,Decimal,"1 - contributors must include, regardless of the resource cost",The age of the subject at the diagnois event,,_undefined_,_undefined_,_undefined_,"For reporting at the time of birth, report 0 day",,
VD,AGE_UNIT,Enum,"1 - contributors must include, regardless of the resource cost",The unit of the age of the subject at the diagnosis event,,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Years,,,,,
PD,,,,,,Months,,,,,
PD,,,,,,Weeks,,,,,
PD,,,,,,Days,,,,,
VD,AGE_PRECISION,Enum,"1 - contributors must include, regardless of the resource cost",The precision of the age of the subject at the diagnosis event,,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Approximate,,,,,
PD,,,,,,Exact,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DD,Demographics,,,,,,,,,,
TD,Family Medical History,,,,,,,,Only enter family members who have a history of dysglycemia,,
TG,One row per subject per relation per condition,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,"1 - contributors must include, regardless of the resource cost","The identifier assigned to the subject by the honest broker--an individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re-identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker. (Source: NCI Thersaurus)",,_undefined_,_undefined_,_undefined_,,,
