INFO,Title,Nasopharyngeal Carcinoma (NPC) Data Dictionary,,,,,,,,,
INFO,Name,npc_v1.0,,,,,,,,,
INFO,Release Notes,,,,,,,,,,
INFO,Parent Model,pcdc_v2.0,,,,,,,,,
INFO,License,Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/),,,,,,,,,
INFO,Modeling Wiki,https://docs.pedscommons.org/,,,,,,,,,
INFO,Consortium Info,https://commons.cri.uchicago.edu/pcdc/,,,,,,,,,
INFO,Description,,,,,,,,,,
INFO,Total Variables,,,,,,,,,,
,,,,,,,,,,,
RowType,VariableName,DataType,Tier,VariableDescription,VariableCode,PermissibleValue,ValueDescription,ValueCode,ImplementationNotes,Mappings,Modeling notes (Will be ignored in processing)
,,,,,,,,,,,
DD,Protocol,,,,,,,,,,
TD,Subject Characteristics,,Mandatory,,,,,,,,
TG,One row per subject per study,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,Mandatory,"The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,CONSORTIUM,Enum,Mandatory,The consortium under which this data is being contributed to the Pediatric Cancer Data Commons.,ncit:C61538,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,NOBLE,Nasopharyngeal Carcinoma Global Partnership,,,,
VD,DATA_CONTRIBUTOR_ID,Enum,Mandatory,An identifier assigned to a data contributor.,ncit:C168950,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,COG,"Children's Oncology Group. An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.",ncit:C39353,,,
PD,,,,,,EXPeRT,The European Cooperative Study Group for Pediatric Rare Tumors.,,,,
PD,,,,,,GPOH,"German Society for Pediatric Oncology and Hematology. A research organization in Germany involved in the understanding, diagnosis, treatment and prognosis of pediatric cancers.",ncit:C174960,,,
PD,,,,,,ISPHO,Israel Society of Pediatric Hematology and Oncology,,,,
PD,,,,,,Tata Memorial Centre,,,,,
PD,,,,,,TROD,Turkish Society for Radiation Oncology,,,,
VD,STUDY_ID,Enum,Mandatory,"A sequence of characters used to identify, name, or characterize the study.",ncit:C83082,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,ARAR0331,"Radiation Therapy, Amifostine, and Chemotherapy in Treating Young Patients With Newly Diagnosed Nasopharyngeal Cancer. This phase III trial is studying how well radiation therapy, amifostine, and chemotherapy work in treating young patients with newly diagnosed nasopharyngeal cancer. Radiation therapy uses high-energy x-rays to kill tumor cells. Drugs, such as amifostine, may protect normal cells from the side effects of radiation therapy. Drugs used in chemotherapy, such as cisplatin and fluorouracil, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving radiation therapy together with amifostine and chemotherapy may kill more tumor cells. (ClinicalTrials.gov Identifier: NCI-2009-00412)",,,,"Mark K (retired), COG statistician (?)"
PD,,,,,,GPOH: 2011-17,,,,,GPOH
PD,,,,,,NPC 2016 registry,,,,,GPOH
PD,,,,,,NPC-91,,,,,GPOH
PD,,,,,,TATA,,,,,What's the name for their registry? Use unique study_id for this disease group.
PD,,,,,,ISPHO,,,,,
PD,,,,,,TROD1,,,,,
VD,AGE_AT_ENROLLMENT,Integer,Priority,The age (in days) when the subject enrolled in the study.,ncit:C168843,_undefined_,_undefined_,_undefined_,"ConditionalStatement: if 'ENROLLED_STATUS' == 'Enrolled' | ConditionalStatement: Mandatory if ""AGE_AT_DIAG_ASSESSMENT"" is null.",,not prospecitve data so will not have treatment arm
VD,EFS_CENSOR_STATUS,Enum,Priority,"The status of individuals in a study when their outcome (event occurrence or time to event) is censored or not censored at the time of analysis or data collection. Censoring occurs when an individual has not experienced the event of interest by the end of the study period or at the time of data analysis, often because they were lost to follow-up, withdrew from the study, or the study ended before the event could occur. In event-free survival analysis, these censored individuals are included in the analysis up to the point of censoring and are essential for estimating survival probabilities and analyzing the time to events.",,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Censored,The status of a participant or subject in a study whose event or outcome of interest has not yet occurred or has not been observed within the study's follow-up period. Censoring occurs when the event of interest has not happened to a participant by the end of the study or when they are lost to follow-up before the event occurs.,ncit:C118962,,,
PD,,,,,,Not Censored,"The patient has experienced the event of interest within the study period and has reached the endpoint being evaluated, such as disease progression, relapse, recurrence, or death, and their time to event can be accurately recorded and analyzed.",,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,AGE_AT_CENSOR_STATUS,Integer,Priority,The age (in days) of the subject at the time of the event censor status.,,_undefined_,_undefined_,_undefined_,ConditionalStatement: if 'EFS_CENSOR_STATUS' not null.,,
VD,TREATMENT_ARM,Enum,Optional,A specific treatment plan within a clinical trial that describes the activities a subject will be involved in as he or she progresses through the study.,ncit:C15538,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Cisplatine + 5FU,,,,,
PD,,,,,,Docetaxel + Cisplatin + 5FU,,,,,
PD,,,,,,Bleomycin-Doxurubicin-Cisplatin (BAC),,,,,
PD,,,,,,Cisplatin-Docetaxel,,,,,
VD,AGE_AT_TXASSIGN,Integer,Optional,The age (in days) when the subject was assigned to a treatment arm.,ncit:C175529,_undefined_,_undefined_,_undefined_,,,
VD,ENROLLED_STATUS,Enum,Optional,"This variable indicates if the subject was enrolled in the study, or if the subject was not enrolled in the study but received treatment per the study's protocol.",ncit:C168928,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Enrolled,The study subject is enrolled.,ncit:C142715,,,
PD,,,,,,Not Enrolled,The study subject is not enrolled.,ncit:C168929,,,
