Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_1,demographics,,text,Record ID,,,,,,,,,,,,,
globaluniqueidnum,demographics,,text,GUID,,,,,,,,,,,,,C17399
subidnam,demographics,,text,Subject ID Number,,The participant or subject identifiers or IDs should be assigned by the study. SCI Variable: SUBJECT,,,,,,,,,,,C19247
sitename,demographics,,text,Site Name,,Enter the name of the study site,,,,,,,,,,,C17402
birthdate,demographics,,text,Date of birth,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).  Recording date of birth will give the most detailed information required for calculation of age and is recommended as first choice. However, in some studies recording date of birth may elicit discussions on a potential violation of privacy legislation and specifically HIPAA regulations. In these cases, the calculated age should be recorded.",datetime_seconds_ymd,,,,,,,,,,C00007
birthsexassigntyp,demographics,,dropdown,Sex assigned at birth,"1, Female | 2, Male | 3, Intersex | 4, Unknown | 5, Other, specify",,,,,,,,,,,,C58676
birthsexassigntypoth,demographics,,text,"Other, specify",,,,,,,,,,,,,C58780
ethnusacat,demographics,,dropdown,Ethnicity,"1, Hispanic or Latino | 2, Not Hispanic or Latino | 3, Unknown | 4, Not reported | 5, Other, specify","Choose one. Response is obtained by report of the participant/subject or caretaker. If more detailed characterizations of ethnicity are collected to enhance data quality and consistency, it is recommended that they be collapsible up to the two categories for reportable ethnicity as needed for reporting to FDA under its guidance. Other regulatory bodies may expect the reporting of ethnicity values which more appropriately reflect the population of their areas (e.g. Japanese ancestry for MHLW reporting to Japan). These may be collected as an extension to the suggested code list.",,,,,,,,,,,C00020
raceusacat,demographics,,dropdown,Race,"1, American Indian or Alaska Native | 2, White | 3, Asian | 4, Unknown | 5, Black or African-American | 6, Not reported | 7, Native Hawaiian or Other Pacific Islander","Choose all that apply.  Response is obtained by report of the participant/subject or caretaker. Collecting information on race may not be allowed in some countries for concerns related to discrimination. In other countries, however, these concerns are considered a reason for recording race in order to guarantee equal access to care. Investigators receiving funding from the US National Institutes of Health (NIH) are required to report the number of subjects enrolled on an annual basis using the racial categories listed.",,,,,,,,,,,C00030
eduyrct,demographics,,text,Number of years of education,,"For years completed, after the age of 5, code the number of years attained (0-30 years), normed to someone moving full time at the usual pace, i.e. a year that was repeated counts as only 1 year and the usual single-year full-time load completed over several years counts as 1 year. Certificate and technical programs do NOT count no matter how specialized.  The number of  years of typical completion of the relevant program is counted. If the subject obtained their education outside the United States, ask about their educational system to estimate the correct coding - Internship, Residency, and Fellowship years are experiential training and do not count.",number,0.0,30.0,,,,,,,,C00015
headaisscore,classification,,text,Head AIS Score,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6",,number,,,,,,,,,,C18398
ageval,classification,,text,Age,,"For children younger than one year born at less than 36 weeks gestation, it is recommended to also collect gestational age.  Recording date of birth will give the most detailed information required for calculation of age and is recommended as first choice. However, in some studies recording date of birth may elicit discussions on a potential violation of privacy legislation and specifically HIPAA regulations. In these cases, the calculated age should be recorded.",number,0.0,1800.0,,,,,,,,C00008
hypxepiind,classification,,dropdown,Did participant/subject experience hypoxic episode?,"1, Yes | 2, No | 3, Suspected | 4, Unknown",Choose one.,,,,,,,,,,,C05457
hypotnsnepiind,classification,,dropdown,Did participant/subject experience hypotensive episode?,"1, Yes | 2, No | 3, Suspected | 4, Unknown",Choose one.,,,,,,,,,,,C05453
pupilreactivitylghtlfteyereslt,classification,,dropdown,Left pupil reactivity,"1, Sluggish | 2, Nonreactive | 3, Brisk | 4, Untestable | 5, Unknown",Choose one.,,,,,,,,,,,C01004
pupilreactivitylghtrteyereslt,classification,,dropdown,Right pupil reactivity,"1, Sluggish | 2, Nonreactive | 3, Brisk | 4, Untestable | 5, Unknown",Choose one.,,,,,,,,,,,C01003
sahstatus,classification,,dropdown,Subarachnoid hemorrhage,"1, Present | 2, Absent | 3, Indeterminate",Choose one.,,,,,,,,,,,C02469
mrshlctclasscode,classification,,text,,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",Choose one.,number,,,,,,,,,,C02505
gcsmotorrespnsscale,classification,,text,Motor response,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Untestable | 8, Unknown",Choose one,number,,,,,,,,,,C01001
pgcsmotorrespnsscore,classification,,dropdown,Motor response,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Untestable | 8, Unknown",Choose one,,,,,,,,,,,C01021
sedationstatus,classification,,dropdown,Sedation,"1, No sedation/paralysis | 2, After stopping sedation | 3, After pharmacologic reversal | 4, Under sedation",Choose one.,,,,,,,,,,,C01007
vitstatus,discharge_information,,dropdown,Vital status on discharge,"1, Alive | 2, Dead | 3, Unknown",Choose one.,,,,,,,,,,,C04807
