Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
headaisscore,classification,,text,Head AIS Score,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6",,number,,,,,,,,,,C18398
ageval,classification,,text,Age,,"For children younger than one year born at less than 36 weeks gestation, it is recommended to also collect gestational age.  Recording date of birth will give the most detailed information required for calculation of age and is recommended as first choice. However, in some studies recording date of birth may elicit discussions on a potential violation of privacy legislation and specifically HIPAA regulations. In these cases, the calculated age should be recorded.",number,0.0,1800.0,,,,,,,,C00008
hypxepiind,classification,,dropdown,Did participant/subject experience hypoxic episode?,"1, Yes | 2, No | 3, Suspected | 4, Unknown",Choose one.,,,,,,,,,,,C05457
hypotnsnepiind,classification,,dropdown,Did participant/subject experience hypotensive episode?,"1, Yes | 2, No | 3, Suspected | 4, Unknown",Choose one.,,,,,,,,,,,C05453
pupilreactivitylghtlfteyereslt,classification,,dropdown,Left pupil reactivity,"1, Sluggish | 2, Nonreactive | 3, Brisk | 4, Untestable | 5, Unknown",Choose one.,,,,,,,,,,,C01004
pupilreactivitylghtrteyereslt,classification,,dropdown,Right pupil reactivity,"1, Sluggish | 2, Nonreactive | 3, Brisk | 4, Untestable | 5, Unknown",Choose one.,,,,,,,,,,,C01003
sahstatus,classification,,dropdown,Subarachnoid hemorrhage,"1, Present | 2, Absent | 3, Indeterminate",Choose one.,,,,,,,,,,,C02469
mrshlctclasscode,classification,,text,,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",Choose one.,number,,,,,,,,,,C02505
gcsmotorrespnsscale,classification,,text,Motor response,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Untestable | 8, Unknown",Choose one,number,,,,,,,,,,C01001
pgcsmotorrespnsscore,classification,,dropdown,Motor response,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Untestable | 8, Unknown",Choose one,,,,,,,,,,,C01021
sedationstatus,classification,,dropdown,Sedation,"1, No sedation/paralysis | 2, After stopping sedation | 3, After pharmacologic reversal | 4, Under sedation",Choose one.,,,,,,,,,,,C01007
