Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
injdatetime,history_of_disease_injury_event,,text,Injury date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C05400
injdatereliabltyp,history_of_disease_injury_event,,dropdown,Reliability of injury date,"1, Verified | 2, Estimated | 3, Unknown",Choose one,,,,,,,,,,,C05401
injdatetimeesttyp,history_of_disease_injury_event,,dropdown,"If estimated, the point in time estimated as injury date","1, Time that the participant/subject became symptomatic | 2, Time of first trauma activation | 3, Time of presentation to emergency department",Choose one,,,,,,,,,,,C05403
hospfirsttreatarrdatetime,history_of_disease_injury_event,,text,"If first treated at a hospital prior to arriving at study center, arrival date and time",,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C05406
hospitladmissdatetime,history_of_disease_injury_event,,text,Hospital admission date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html). The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C05408
injimmdtmedclservrecvdind,history_of_disease_injury_event,,dropdown,Were initial medical services received directly after injury?,"1, Yes | 2, No | 3, Unknown",Choose one,,,,,,,,,,,C05411
injcausetyp,history_of_disease_injury_event,,dropdown,Cause of TBI,"1, Railway accidents | 2, Motor vehicle traffic accidents | 3, Motor vehicle nontraffic accidents | 4, Other road vehicle accidents | 5, Water transport accidents | 6, Air and space transport accidents | 7, Vehicle accidents not elsewhere classifiable | 8, Accidental poisoning by drugs, medicinal substances, and biologicals | 9, Accidental poisoning by other solid and liquid substances, gases, and vapors | 10, Misadventures to patients during surgical and medical care | 11, Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure | 12, Accidental falls | 13, Accidents caused by fire and flames | 14, Accidents due to natural and environmental factors (e900-e909) | 15, Accidents caused by submersion, suffocation, and foreign bodies | 16, Other accidents | 17, Late effects of accidental injury | 18, Drugs, medicinal and biological substances causing adverse effects in therapeutic use | 19, Suicide and self-inflicted injury | 20, Homicide and injury purposely inflicted by other persons | 21, Legal intervention | 22, Terrorism | 23, Injury undetermined whether accidentally or purposely inflicted | 24, Injury resulting from operations of war | 25, Railway accidents",Choose all that apply from codelist and/or fill in appropriate ICD-9-CM e-codes below,,,,,,,,,,,C05422
tbicausetyp,history_of_disease_injury_event,,dropdown,Type of TBI,"1, Closed | 2, Penetrating | 3, Blast | 4, Crush | 5, Unknown",Choose one,,,,,,,,,,,C58469
tbimechtyp,history_of_disease_injury_event,,dropdown,Mechanism of TBI,"1, Acceleration/Deceleration | 2, Direct impact: blow to head | 3, Direct impact: head against object | 4, Crush | 5, Blast | 6, Ground level fall | 7, Fall from height &gt | 8, 1 meter (3 ft) | 9, Gunshot wound | 10, Fragment (incl. shell/shrapnel) | 11, Other penetrating brain injury",Choose all that apply,,,,,,,,,,,C05424
infalclkhdtyp,history_of_disease_injury_event,,dropdown,Likelihood that participant/subject was under the influence of alcohol?,"1, None | 2, Suspected | 3, Confrimed | 4, Unknown",Choose one,,,,,,,,,,,C18397
trffaccdntselfdrginglkhdtyp,history_of_disease_injury_event,,dropdown,Traffic accident self drug influence likelihood type,"1, Suspected | 2, Confirmed | 3, Unknown | 4, None",Choose one. Response is obtained from hospital reports.,,,,,,,,,,,C05431
trffaccdntothprtydrginflkhdtyp,history_of_disease_injury_event,,dropdown,Traffic accident self drug influence likelihood type,"1, Suspected | 2, Confirmed | 3, Unknown | 4, None",Choose one. Response is obtained from hospital reports.,,,,,,,,,,,C05432
