Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
labspecmncolldatetime,laboratory_tests_and_biospecimens_biomarkers,,text,Date collected Time collected,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C01701
labpanelcat,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Lab panel,"1, Chemistry | 2, Hematology | 3, Urinalysis | 4, Other, specify",Choose one.,,,,,,,,,,,C01703
labspecmntyp,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Lab specimen type,"1, Venous blood - serum | 2, Venous blood - plasma | 3, Venous blood - platelets | 4, Venous blood - buffy coat | 5, Venous blood - whole | 6, Arterial blood - serum | 7, Arterial blood - plasma | 8, Arterial blood - platelets | 9, Arterial blood - buffy coat | 10, Arterial blood - whole | 11, Newborn cord blood | 12, Urine | 13, CSF | 14, Buccal swab | 15, Brain tissue | 16, Saliva | 17, Amniotic fluid | 18, Placenta | 19, Other, specify | 20, Blood",Choose one,,,,,,,,,,,C01712
labtestreslttxt,laboratory_tests_and_biospecimens_biomarkers,,text,Result,,Enter the alphanumeric result,,,,,,,,,,,C01706
labtestresltuom,laboratory_tests_and_biospecimens_biomarkers,,text,Units for result,,Choose or specify the appropriate response.,,,,,,,,,,,C01711
labtestresltstatus,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Was test result abnormal?,"1, Normal | 2, Abnormal | 3, Unknown",Choose one.  Indicate if the laboratory test result is abnormal.  Abnormal means the test result falls outside the normal range.,,,,,,,,,,,C01709
labtestabnrmlysignfcncetyp,laboratory_tests_and_biospecimens_biomarkers,,dropdown,"If abnormal, clinically significant?","1, Clinically Significant | 2, Not Clinically Significant","Choose one.  If the laboratory test result is abnormal, indicate if the physician considers the result clinically significant.",,,,,,,,,,,C01707
drgscrnqualreslt,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Drug screen qualitative result,"1, Negative | 2, Positive | 3, Inconclusive | 4, Not available",No instructions available,,,,,,,,,,,C01717
drgscrnpossubstnctyp,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Drug screen screen positive type,"1, Cocaine metabolite | 2, Marijuana metabolites | 3, Opiates (codeine and morphine) | 4, Phencyclidine | 5, Barbiturates | 6, Benzodiazepines | 7, Methadone | 8, Propoxyphene | 9, Other, specify | 10, Amphetamines",Choose all that apply.,,,,,,,,,,,C01718
drgscrnsampltyp,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Drug screen sample type,"1, Serum | 2, Urine | 3, Hair | 4, Saliva | 5, Other, specify",Choose all that apply.,,,,,,,,,,,C01719
