Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
intracrnlprcdrsind,surgeries_and_other_procedures,,dropdown,Were any intracranial procedures performed on participant/subject?,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05127
airwytrtmttyp,surgeries_and_other_procedures,,dropdown,Airway treatment type,"1, Supplemental oxygen | 2, Adjunctive airway | 3, Temporary support with bag, valve, mask | 4, Intubation | 5, Mechanical ventilation | 6, Unknown | 7, No specific treatment",Choose all that apply.,,,,,,,,,,,C01500
surgtherapprocedurtyp,surgeries_and_other_procedures,,dropdown,Surgical or therapeutic procedure type,"1, Appendicectomy | 2, Cholecystectomy | 3, Colostomy | 4, Ileostomy | 5, Feeding tube placement | 6, Fundoplication | 7, Scoliosis surgery | 8, Tendon release | 9, Tympanostomy tubes | 10, Tracheostomy | 11, Airway surgery | 12, Other surgery, specify | 13, Unknown | 14, Diagnostic | 15, Anterior temporal lobectomy (ATL) | 16, Anterior temporal lobectomy plus (ATL+) | 17, Amygdalohippocampectomy | 18, Lesionectomy | 19, Lesionectomy plus (Lesionectomy +) | 20, Extratemporal resection (Topectomy) | 21, Multi-lobar resection | 22, Hemispherectomy | 23, Vagus nerve stimulation (VNS) surgery | 24, Corpus callosotomy | 25, Multiple subpial transection | 26, Radiosurgery | 27, Therapeutic brain stimulation | 28, Other, specify | 29, Appendicostomy | 30, Appendectomy | 31, Neurological surgery | 32, Bony orthopedic surgery","Choose all that apply. Recommend collection during acute hospital care. Document information on a continuing basis and check/update on discharge/death from review of medical charts. Add date stamp for when assessed.  In previous trials and studies, information on surgical procedures has typically been documented in free text format, thus often precluding any meaningful analysis. We therefore propose the use of ICD-9 coding.",,,,,,,,,,,C05108
surgtherapproceduroth,surgeries_and_other_procedures,,text,Other,,"Choose all that apply. Recommend collection during acute hospital care. Document information on a continuing basis and check/update on discharge/death from review of medical charts. Add date stamp for when assessed.  In previous trials and studies, information on surgical procedures has typically been documented in free text format, thus often precluding any meaningful analysis. We therefore propose the use of ICD-9 coding.",,,,,,,,,,,C18765
surgtherapuprocicd10cmothtxt,surgeries_and_other_procedures,,text,"	ICD-10-CM code (Code from the International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-10-CM) for the selected surgical procedure)",,"Recommend collection during acute hospital care. Document information on a continuing basis and check/update on discharge/death from review of medical charts. Add date stamp for when assessed.  In previous trials and studies, information on surgical procedures has typically been documented in free text format, thus often precluding any meaningful analysis. We therefore propose the use of ICD-10 coding.",,,,,,,,,,,C21669
inpatoutpatstatus,surgeries_and_other_procedures,,dropdown,Inpatient or Outpatient,"1, Inpatient | 2, Outpatient | 3, Home health",Choose one.,,,,,,,,,,,C05104
surgtherapuprocstartdatetime,surgeries_and_other_procedures,,text,Surgical or therapeutic procedure start date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C05106
surgtherapuprocenddatetime,surgeries_and_other_procedures,,text,Surgical or therapeutic procedure end date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C05105
asastdmonitorsusedtype,surgeries_and_other_procedures,,dropdown,ASA monitor type,"1, BP | 2, ECG | 3, SaO2",Choose all that apply.,,,,,,,,,,,C05140
tempmeasr,surgeries_and_other_procedures,,text,Temperature measurement,,,number,0.0,50.0,,,,,,,,C01539
