Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
resprate,vital_signs_and_other_body_measures,,text,Respiratory rate,,"Add date stamp for when assessed. Hypoxia, hypercapnia, and hypocapnia have all been associated with poor outcome.",number,0.0,120.0,,,,,,,,C01535
heartrate,vital_signs_and_other_body_measures,,text,Heart rate,,"Record heart rate from monitor or by counting pulse rate.  The suggested range is 0-300. Add date stamp for when assessed. Heart rate may be altered by trauma in a couple of ways. Tachycardia may indicate volume depletion, pain or stress, and higher heart rates have been found in patients that do not survive traumatic injuries. Bradycardia may be seen with elevated intracranial pressure. Pediatric-specific notes:  As a minimum, vital signs should be recorded on admission and further, on a daily basis during the acute phase after injury. For the basic datasets, we recommend recording the average and lowest blood pressure over a given period. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (intermediate data set).",number,0.0,300.0,,,,,,,,C01521
bldpressrdiastlmeasr,vital_signs_and_other_body_measures,,text,Blood pressure,,"Record blood pressure from the blood pressure monitor or measure manually by sphygmanometry. The suggested range is 0-300 mmHg. Add date stamp for when assessed.When hourly values are documented, we recommend to take readings at a fixed time point, for example the last minute of the hour. Exclude values which may be influenced by artifacts. Add date stamp for when assessed. The injured brain is often not able to pressure autoregulate normally, adequate perfusion may be more dependent on perfusion pressure; lower blood pressure and low perfusion pressure can aggravate ischemic damage to the injured brain whilst conversely a high blood pressure may lead to increased intracranial pressure and carries an increased risk of neurogenic lung edema. Hypotensive episodes before and after admission adversely affect outcome. In patients with severe traumatic brain injury, routine calculation of the cerebral perfusion pressure on an hourly basis is recommended. Pediatric-specific notes: As a minimum, vital signs should be recorded on admission and further, on a daily basis during the acute phase after injury. For the Core datasets, we recommend recording the average and lowest blood pressure over a given period. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (intermediate data set).",number,0.0,300.0,,,,,,,,C01507
bldpressrsystmeasr,vital_signs_and_other_body_measures,,text,Blood pressure,,"Record blood pressure from the blood pressure monitor or measure manually by sphygmanometry. The suggested range is 0-300 mmHg. Add date stamp for when assessed.When hourly values are documented, we recommend to take readings at a fixed time point, for example the last minute of the hour. Exclude values which may be influenced by artifacts. The injured brain is often not able to pressure autoregulate normally, adequate perfusion may be more dependent on perfusion pressure; lower blood pressure and low perfusion pressure can aggravate ischemic damage to the injured brain whilst conversely a high blood pressure may lead to increased intracranial pressure and carries an increased risk of neurogenic lung edema. Hypotensive episodes before and after admission adversely affect outcome. In patients with severe traumatic brain injury, routine calculation of the cerebral perfusion pressure on an hourly basis is recommended. Pediatric-specific notes: This element is recommended for pediatric studies. As a minimum, vital signs should be recorded on admission and further, on a daily basis during the acute phase after injury. For the basic datasets, we recommend recording the average and lowest blood pressure over a given period. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (intermediate data set).",number,0.0,300.0,,,,,,,,C01565
o2satmeasr,vital_signs_and_other_body_measures,,text,Oxygen saturation (%),,The suggested range is 0-100. Add date stamp for when assessed. Recommended for collection on admission and daily as required by protocol.,number,0.0,100.0,,,,,,,,C01554
wgtmeasr,vital_signs_and_other_body_measures,,text,Weight,,"The suggested range is 0-500 kg or 0-1000 lbs. Height and weight can be measured or estimated upon admission, or alternatively information may be obtained from relatives. Add date stamp for when assessed.    Recommend collection at least on date of TBI. Documentation of height and weight is motivated by two reasons: 1. the risk of (systemic) complications is greater in the presence of obesity; 2. body weight is important for calculating required doses of (study) medications.",number,0.0,500.0,,,,,,,,C01541
wgtuom,vital_signs_and_other_body_measures,,dropdown,Weight measurement,"1, Pounds | 2, Kilograms","Record the weight of the participant/subject. To be collected at the visit, not self-reported. If the participant/subject is in a wheelchair, measure the weight of the participant/subject plus the wheelchair, then the weight of the wheelchair alone to get the weight of the individual.",,,,,,,,,,,C01581
wgtmeasrmethdtyp,vital_signs_and_other_body_measures,,dropdown,Weight: Measurement Type,"1, Self-reported | 2, Measured","Choose one. Height and weight can be measured or estimated upon admission, or alternatively information may be obtained from relatives.  Documentation of height and weight is motivated by two reasons: 1. the risk of (systemic) complications is greater in the presence of obesity; 2. body weight is important for calculating required doses of (study) medications.",,,,,,,,,,,C01546
hgtmeasr,vital_signs_and_other_body_measures,,text,Height,,"The suggested range is 0-500 cm or 0-100 inches. Height and weight can be measured or estimated upon admission, or alternatively information may be obtained from relatives. Add date stamp for when assessed.  Documentation of height and weight is motivated by two reasons: 1. the risk of (systemic) complications is greater in the presence of obesity; 2. body weight is important for calculating required doses of (study) medications.",number,0.0,400.0,,,,,,,,C01522
hgtuom,vital_signs_and_other_body_measures,,dropdown,Unit of measure for height,"1, feet | 2, meters | 3, Inches | 4, Centimeters",,,,,,,,,,,,C01582
