CDE ID,CDE Name,Variable Name,Definition,Short Description,Question Text,Permissible Values,PV Descriptions,Data Type,Disease Specific Instructions,Disease Specific Reference,Population,"Classification (e.g., Core)",Version Number,Version Date,CRF Module / Guideline,Subdomain Name,Domain Name,Size,Input Restrictions,Min Value,Max Value,Measurement Type,External Id Loinc,External Id Snomed,External Id caDSR,External Id CDISC
C05400,Injury date time,InjDateTime,"Date (and time, if applicable and known) of injury","Date (and time, if applicable and known) of injury",Injury date and time,,,Date or Date & Time,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",No references available,Adult;Pediatric,Core,3,21:25.6,Injury Presentation - Early/Late,History of Disease/Injury Event,Disease/Injury Related Events,,Free-Form Entry,,,,,,,
C05401,Injury date reliability type,InjDateReliablTyp,The type of reliability of the reported injury date,The type of reliability of the reported injury date,Reliability of injury date,Verified;Estimated;Unknown,Verified;Estimated;Unknown,Alphanumeric,Choose one,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Injury Presentation - Early/Late,History of Disease/Injury Event,Disease/Injury Related Events,,Single Pre-Defined Value Selected,,,,,,,
C05403,Injury date time estimation type,InjDateTimeEstTyp,The type as related to the point in time estimated as injury date and time,The type as related to the point in time estimated as injury date and time,"If estimated, the point in time estimated as injury date",Time that the participant/subject became symptomatic;Time of first trauma activation;Time of presentation to emergency department,Time that the participant/subject became symptomatic;Time of first trauma activation;Time of presentation to emergency department,Alphanumeric,Choose one,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Injury Presentation - Early/Late,History of Disease/Injury Event,Disease/Injury Related Events,,Single Pre-Defined Value Selected,,,,,,,
C05406,Hospital first treat arrival date time,HospFirstTreatArrDateTime,"Date (and time, if applicable and known) of arrival at the first hospital, if the participant/subject was transferred to the study center from another hospital","Date (and time, if applicable and known) of arrival at the first hospital, if the participant/subject was transferred to the study center from another hospital","If first treated at a hospital prior to arriving at study center, arrival date and time",,,Date or Date & Time,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",No references available,Adult;Pediatric,Supplemental,3,21:25.6,Injury Presentation - Early/Late,History of Disease/Injury Event,Disease/Injury Related Events,,Free-Form Entry,,,,,,,
C05408,Hospital admission date and time,HospitlAdmissDateTime,"Date (and time, if applicable and known) the participant/subject was admitted to the hospital","Date (and time, if applicable and known) the participant/subject was admitted to the hospital",Hospital admission date and time,,,Date or Date & Time,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html). The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",No references available,Adult;Pediatric,Supplemental,3,54:08.2,Injury Presentation - Early/Late,History of Disease/Injury Event,Disease/Injury Related Events,,Free-Form Entry,,,,,,,
C05411,Injury immediate medical service receive indicator,InjImmdtMedclServRecvdInd,Indicator of whether initial medical services were received directly after injury,Indicator of whether initial medical services were received directly after injury,Were initial medical services received directly after injury?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,Choose one,"Berlot G, Fata CL, Bacer B, et al. Influence of prehospital treatment on the outcome of patients with severe blunt traumatic brain injury. Eur J Emerg Med. Jun 1 2009 Davis DP, Peay J, Serrano JA, et al. The impact of aeromedical response to patients with moderate to severe traumatic brain injury. Ann Emerg Med. Aug 2005;46(2):155-22.",Adult;Pediatric,Supplemental,3,21:25.6,Injury Presentation - Early/Late,History of Disease/Injury Event,Disease/Injury Related Events,,Single Pre-Defined Value Selected,,,,,,,
C05422,Injury cause type,InjCauseTyp,The type as related to the classification of the external cause of the injury,The type as related to the classification of the external cause of the injury,Cause of TBI,"Railway accidents;Motor vehicle traffic accidents;Motor vehicle nontraffic accidents;Other road vehicle accidents;Water transport accidents;Air and space transport accidents;Vehicle accidents not elsewhere classifiable;Accidental poisoning by drugs, medicinal substances, and biologicals;Accidental poisoning by other solid and liquid substances, gases, and vapors;Misadventures to patients during surgical and medical care;Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure;Accidental falls;Accidents caused by fire and flames;Accidents due to natural and environmental factors (e900-e909);Accidents caused by submersion, suffocation, and foreign bodies;Other accidents;Late effects of accidental injury;Drugs, medicinal and biological substances causing adverse effects in therapeutic use;Suicide and self-inflicted injury;Homicide and injury purposely inflicted by other persons;Legal intervention;Terrorism;Injury undetermined whether accidentally or purposely inflicted;Injury resulting from operations of war;Railway accidents","Railway accidents (e800-e807);Motor vehicle traffic accidents (e810-e819);Motor vehicle nontraffic accidents (e820-e825);Other road vehicle accidents (e826-e829);Water transport accidents (e830-e838);Air and space transport accidents (e840-e845);Vehicle accidents not elsewhere classifiable (e846-e848);Accidental poisoning by drugs, medicinal substances, and biologicals (e850-e858);Accidental poisoning by other solid and liquid substances, gases, and vapors (e860-e869);Misadventures to patients during surgical and medical care (e870-e876);Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure (e878-e879);Accidental falls (e880-e888);Accidents caused by fire and flames (e890-e899);Accidents due to natural and environmental factors (e900-e909);Accidents caused by submersion, suffocation, and foreign bodies (e910-e915);Other accidents (e916-e928);Late effects of accidental injury (e929);Drugs, medicinal and biological substances causing adverse effects in therapeutic use (e930-e949);Suicide and self-inflicted injury (e950-e959);Homicide and injury purposely inflicted by other persons (e960-e969);Legal intervention (e970-e978);Terrorism (e979);Injury undetermined whether accidentally or purposely inflicted (e980-e989);Injury resulting from operations of war (e990-e999;Railway accidents (e800-e807)",Alphanumeric,Choose all that apply from codelist and/or fill in appropriate ICD-9-CM e-codes below,"Butcher I, McHugh GS, Lu J, et al. Prognostic value of cause of injury in traumatic brain injury: results from the IMPACT study. J Neurotrauma. Feb 2007;24(2):281-286. See http://www.icd9data.com",Adult;Pediatric,Basic,3,21:25.6,"Type, Place, Cause and Mechanism of Injury",History of Disease/Injury Event,Disease/Injury Related Events,,Multiple Pre-Defined Values Selected,,,,,,,
C58469,TBI cause type,TBICauseTyp,Broad classification of the type of traumatic brain injury experienced by participant/subject,Indicator of the type of traumatic brain injury experienced by participant/subject,Type of TBI,Closed;Penetrating;Blast;Crush;Unknown,Closed;Penetrating;Blast;Crush;Unknown,Alphanumeric,Choose one,"Butcher I, McHugh GS, Lu J, et al. Prognostic value of cause of injury in traumatic brain injury: results from the IMPACT study. J Neurotrauma. Feb 2007;24(2):281-286.",Adult;Pediatric,Core,3,21:25.6,"Type, Place, Cause and Mechanism of Injury",History of Disease/Injury Event,Disease/Injury Related Events,,Single Pre-Defined Value Selected,,,,,,,
C05424,TBI mechanism type,TBIMechTyp,Type of mechanism/forces causing the traumatic brain injury,Type of mechanism/forces causing the traumatic brain injury,Mechanism of TBI,Acceleration/Deceleration;Direct impact: blow to head;Direct impact: head against object;Crush;Blast;Ground level fall;Fall from height &gt; 1 meter (3 ft);Gunshot wound;Fragment (incl. shell/shrapnel);Other penetrating brain injury,Acceleration/Deceleration;Direct impact: blow to head;Direct impact: head against object;Crush;Blast;Ground level fall;Fall from height &gt; 1 meter (3 ft);Gunshot wound;Fragment (incl. shell/shrapnel);Other penetrating brain injury,Alphanumeric,Choose all that apply,No references available,Adult;Pediatric,Basic,3,21:25.6,"Type, Place, Cause and Mechanism of Injury",History of Disease/Injury Event,Disease/Injury Related Events,,Multiple Pre-Defined Values Selected,,,,,,,
C18397,Influence alcohol likelihood type,InfAlcLkhdTyp,Indicator for the likelihood the subject was under the influence of alcohol,Indicator for the likelihood the subject was under the influence of alcoho,Likelihood that participant/subject was under the influence of alcohol?,None;Suspected;Confrimed;Unknown,None;Suspected;Confrimed;Unknown,Alphanumeric,Choose one,No references available,Adult;Pediatric,Basic,3,21:25.6,"Type, Place, Cause and Mechanism of Injury",History of Disease/Injury Event,Disease/Injury Related Events,,Single Pre-Defined Value Selected,,,,,,,
