CDE ID,CDE Name,Variable Name,Definition,Short Description,Question Text,Permissible Values,PV Descriptions,Data Type,Disease Specific Instructions,Disease Specific Reference,Population,"Classification (e.g., Core)",Version Number,Version Date,CRF Module / Guideline,Subdomain Name,Domain Name,Size,Input Restrictions,Min Value,Max Value,Measurement Type,External Id Loinc,External Id Snomed,External Id caDSR,External Id CDISC
C05127,Intracranial surgery indicator,IntracrnlPrcdrsInd,Indicator of whether the participant/subject underwent intracranial procedures as part of treatment,Indicator of whether the participant/subject underwent intracranial procedures as part of treatment,Were any intracranial procedures performed on participant/subject?,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,Choose one.,No references available,Adult;Pediatric,Basic,3,21:25.6,ER/Admission Therapeutic Procedures,Surgeries and Other Procedures,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,
C01500,Airway treatment type,AirwyTrtmtTyp,Type of treatment or procedures the participant/subject received to support airway/ breathing,Type of treatment or procedures the participant/subject received to support airway/ breathing,Airway treatment type,"Supplemental oxygen;Adjunctive airway;Temporary support with bag, valve, mask;Intubation;Mechanical ventilation;Unknown;No specific treatment","providing oxygen via nasal canula, oxygen mask or any other external oxygen source.;Examples are the mayo device, combitube or LME.;;;;;No specific treatment",Alphanumeric,Choose all that apply.,"Murray GD, Butcher I, McHugh GS, et al. Multivariable prognostic analysis in traumatic brain injury: results from the IMPACT study. J Neurotrauma. Feb 2007;24(2):329-337. Chesnut RM,  Marshall LF, Klauber MR, et al. The role of secondary brain injury in determining outcome from severe head injury. J Trauma. Feb 1993;34(2):216-222. Brain Trauma Foundation, American Association of Neurological Surgeons (AANS), Congress of Neurological Surgeons (CNS), AANS/CNS Joint Section on Neurotrauma and Critical Care: Guidelines for the management of severe traumatic brain injury. I. Blood pressure and oxygenation. J Neurotrauma 2007; 24 (Suppl 1): S7-S13. Davis, DP. Early ventilation in traumatic brain injury. Resuscitation. Mar 2008;76(3):333-340.",Adult;Pediatric,Supplemental,3,21:25.6,ER/Admission Therapeutic Procedures,Surgeries and Other Procedures,Treatment/Intervention Data,,Multiple Pre-Defined Values Selected,,,,,,,
C05108,Surgical or therapeutic procedure type,SurgTherapProcedurTyp,Type of surgical or therapeutic procedure received by the participant/subject,Type of surgical or therapeutic procedure received by the participant/subject,Surgical or therapeutic procedure type,"Appendicectomy;Cholecystectomy;Colostomy;Ileostomy;Feeding tube placement;Fundoplication;Scoliosis surgery;Tendon release;Tympanostomy tubes;Tracheostomy;Airway surgery;Other surgery, specify;Unknown;Diagnostic;Anterior temporal lobectomy (ATL);Anterior temporal lobectomy plus (ATL+);Amygdalohippocampectomy;Lesionectomy;Lesionectomy plus (Lesionectomy +);Extratemporal resection (Topectomy);Multi-lobar resection;Hemispherectomy;Vagus nerve stimulation (VNS) surgery;Corpus callosotomy;Multiple subpial transection;Radiosurgery;Therapeutic brain stimulation;Other, specify;Appendicostomy;Appendectomy;Neurological surgery;Bony orthopedic surgery","Appendicectomy;Cholecystectomy;Colostomy;Ileostomy;Feeding tube placement;Fundoplication;Scoliosis surgery;Tendon release;Tympanostomy tubes;Tracheostomy;Airway surgery;Other surgery, specify;Unknown;Diagnostic surgery;Anterior temporal lobectomy (ATL);Anterior temporal lobectomy plus (ATL+);Amygdalohippocampectomy;Lesionectomy;Lesionectomy plus (Lesionectomy +);Extratemporal resection (Topectomy);Multi-lobar resection;Hemispherectomy;Vagus nerve stimulation (VNS) surgery;Corpus callosotomy;Multiple subpial transection;Radiosurgery;Therapeutic brain stimulation;Other, specify;Appendicostomy (antegrade colonic anema);Appendectomy;Neurological surgery;Bony orthopedic surgery",Alphanumeric,"Choose all that apply. Recommend collection during acute hospital care. Document information on a continuing basis and check/update on discharge/death from review of medical charts. Add date stamp for when assessed.  In previous trials and studies, information on surgical procedures has typically been documented in free text format, thus often precluding any meaningful analysis. We therefore propose the use of ICD-9 coding.","International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-9-CM): http://www.cdc.gov/nchs/icd/icd9cm.htm",Adult;Pediatric,Supplemental,3,54:08.2,Surgical and Therapeutic Procedures,Surgeries and Other Procedures,Treatment/Intervention Data,,Multiple Pre-Defined Values Selected,,,,,,,
C18765,Surgical or therapeutic procedure other text,SurgTherapProcedurOTH,The free-text field related to 'Surgical or therapeutic procedure type' specifying other text. Type of surgical or therapeutic procedure received by the participant/subject,The free-text field related to 'Surgical or therapeutic procedure type' specifying other text. Type of surgical or therapeutic procedure received by the participant/subject,Other,,,Alphanumeric,"Choose all that apply. Recommend collection during acute hospital care. Document information on a continuing basis and check/update on discharge/death from review of medical charts. Add date stamp for when assessed.  In previous trials and studies, information on surgical procedures has typically been documented in free text format, thus often precluding any meaningful analysis. We therefore propose the use of ICD-9 coding.","International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-9-CM): http://www.cdc.gov/nchs/icd/icd9cm.htm",Adult;Pediatric,Supplemental,1,34:46.0,Surgical and Therapeutic Procedures,Surgeries and Other Procedures,Treatment/Intervention Data,4000,Free-Form Entry,,,,,,,
C21669,Surgical therapeutic procedure ICD-10-CM other text,SurgTherapuProcICD10CMOthTxt,"The free-text field related to 'Surgical or therapeutic procedure ICD-10-CM code' specifying other text. Code from the International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM) for the selected surgical procedure","The free-text field related to 'Surgical or therapeutic procedure ICD-10-CM code' specifying other text. Code from the International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM) for the selected surgical procedure","	ICD-10-CM code (Code from the International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-10-CM) for the selected surgical procedure)",,,Alphanumeric,"Recommend collection during acute hospital care. Document information on a continuing basis and check/update on discharge/death from review of medical charts. Add date stamp for when assessed.  In previous trials and studies, information on surgical procedures has typically been documented in free text format, thus often precluding any meaningful analysis. We therefore propose the use of ICD-10 coding.","International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM) for permissible values: http://www.cdc.gov/nchs/icd/icd10cm.htm#icd2016",Adult;Pediatric,Supplemental,1,34:46.0,Surgical and Therapeutic Procedures,Surgeries and Other Procedures,Treatment/Intervention Data,4000,Free-Form Entry,,,,,,,
C05104,Inpatient outpatient status,InpatOutpatStatus,Status describing whether the participant/subject was admitted to the hospital and stayed overnight,Status describing whether the participant/subject was admitted to the hospital and stayed overnight,Inpatient or Outpatient,Inpatient;Outpatient;Home health,Inpatient;Outpatient;Home health,Alphanumeric,Choose one.,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Surgical and Therapeutic Procedures,Surgeries and Other Procedures,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,
C05106,Surgical therapeutic procedure start date and time,SurgTherapuProcStartDateTime,"Date (and time, if applicable and known) on which the surgical or therapeutic procedure started","Date (and time, if applicable and known) on which the surgical or therapeutic procedure started",Surgical or therapeutic procedure start date and time,,,Date or Date & Time,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",No references available,Adult;Pediatric,Supplemental,3.2,27:56.0,Surgical and Therapeutic Procedures,Surgeries and Other Procedures,Treatment/Intervention Data,,Free-Form Entry,,,,,,,
C05105,Surgical or therapeutic procedure end date and time,SurgTherapuProcEndDateTime,Date on which the surgical or therapeutic procedure ended,Date on which the surgical or therapeutic procedure ended,Surgical or therapeutic procedure end date and time,,,Date or Date & Time,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",No references available,Adult;Pediatric,Supplemental,3,00:23.9,Surgical and Therapeutic Procedures,Surgeries and Other Procedures,Treatment/Intervention Data,,Free-Form Entry,,,,,,,
C05140,American Society of Anesthesiologists standard monitors used type,ASAStdMonitorsUsedType,Type of standard American Society of Anesthesiologists (ASA) monitors used,Type of standard American Society of Anesthesiologists (ASA) monitors used,ASA monitor type,BP;ECG;SaO2,BP;ECG;SaO2,Alphanumeric,Choose all that apply.,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Multiple Pre-Defined Values Selected,,,,,,,
C01539,Temperature measurement,TempMeasr,Measurement of the participant's/subject's body temperature,Measurement of the participant's/subject's body temperatur,Temperature measurement,,,Numeric Values,,No references available,Adult;Pediatric,Supplemental,3,08:00.5,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Free-Form Entry,0,50,degree Celsius,,,2644401,
