CDE ID,CDE Name,Variable Name,Definition,Short Description,Question Text,Permissible Values,PV Descriptions,Data Type,Disease Specific Instructions,Disease Specific Reference,Population,"Classification (e.g., Core)",Version Number,Version Date,CRF Module / Guideline,Subdomain Name,Domain Name,Size,Input Restrictions,Min Value,Max Value,Measurement Type,External Id Loinc,External Id Snomed,External Id caDSR,External Id CDISC
C01535,Respiratory rate,RespRate,Rate of the participant's breathing (inhalation and exhalation),Rate of the participant's breathing (inhalation and exhalation),Respiratory rate,,,Numeric Values,"Add date stamp for when assessed. Hypoxia, hypercapnia, and hypocapnia have all been associated with poor outcome.","Davis, DP. Early ventilation in traumatic brain injury. Resuscitation. Mar 2008;76(3):333-340. Guidelines for the management of severe traumatic brain injury. XIV. Hyperventilation. J Neurotrauma. 2008;25:276-8.  Murray GD, Butcher I, McHugh GS, et al. Multivariable prognostic analysis in traumatic brain injury: results from the IMPACT study. J Neurotrauma. Feb 2007;24(2):329-337.",Adult;Pediatric,Supplemental,3.1,50:02.0,Vital Signs and Blood Gases,Vital Signs and Other Body Measures,Assessments and Examinations,,Free-Form Entry,0,120,breaths per minute,,,2644399,
C01521,Heart rate,HeartRate,The participant's pulse or number of contractions (heart beats) per minute,The participant's pulse or number of contractions (heart beats) per minute,Heart rate,,,Numeric Values,"Record heart rate from monitor or by counting pulse rate.  The suggested range is 0-300. Add date stamp for when assessed. Heart rate may be altered by trauma in a couple of ways. Tachycardia may indicate volume depletion, pain or stress, and higher heart rates have been found in patients that do not survive traumatic injuries. Bradycardia may be seen with elevated intracranial pressure. Pediatric-specific notes:  As a minimum, vital signs should be recorded on admission and further, on a daily basis during the acute phase after injury. For the basic datasets, we recommend recording the average and lowest blood pressure over a given period. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (intermediate data set).","Shoemaker WC, Bayard DS, Botnen A, et al. Mathematical program for outcome prediction and therapeutic support for trauma beginning within 1 hr of admission: a preliminary report. Crit Care Med. Jul 2005;33(7):1499-1506. Agrawal A, Timothy J, Cincu R, et al. Bradycardia in neurosurgery. Clin Neurol Neurosurg. Apr 2008;110(4):321-7.",Adult;Pediatric,Supplemental,3.1,48:30.0,Vital Signs and Blood Gases,Vital Signs and Other Body Measures,Assessments and Examinations,,Free-Form Entry,0,300,beats per minute,,,2767073,
C01507,Blood pressure diastolic measurement,BldPressrDiastlMeasr,Measurement of pressure of the participant's blood against the artery walls during diastole (the relaxation phase) in millimeters of mercury (mmHg),Measurement of pressure of the participant's blood against the artery walls during diastole (the relaxation phase) in millimeters of mercury (mmHg),Blood pressure,,,Numeric Values,"Record blood pressure from the blood pressure monitor or measure manually by sphygmanometry. The suggested range is 0-300 mmHg. Add date stamp for when assessed.When hourly values are documented, we recommend to take readings at a fixed time point, for example the last minute of the hour. Exclude values which may be influenced by artifacts. Add date stamp for when assessed. The injured brain is often not able to pressure autoregulate normally, adequate perfusion may be more dependent on perfusion pressure; lower blood pressure and low perfusion pressure can aggravate ischemic damage to the injured brain whilst conversely a high blood pressure may lead to increased intracranial pressure and carries an increased risk of neurogenic lung edema. Hypotensive episodes before and after admission adversely affect outcome. In patients with severe traumatic brain injury, routine calculation of the cerebral perfusion pressure on an hourly basis is recommended. Pediatric-specific notes: As a minimum, vital signs should be recorded on admission and further, on a daily basis during the acute phase after injury. For the Core datasets, we recommend recording the average and lowest blood pressure over a given period. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (intermediate data set).","Management and prognosis of severe traumatic brain injury, J Neurotrauma 2000;17:591-595.; Butcher I, Maas AI, Lu J , et al. Prognostic value of admission blood pressure in traumatic brain injury: results from the IMPACT study. J Neurotrauma. Feb 2007;24(2):294-302.; Murray GD, Butcher I, McHugh GS, et al. Multivariate prognostic analysis in traumatic brain injury. J Neurotrauma. Feb 2007;24(2):329-377.",Adult;Pediatric,Supplemental,3.1,40:54.0,Vital Signs and Blood Gases,Vital Signs and Other Body Measures,Assessments and Examinations,,Free-Form Entry,0,300,millimeter of mercury,,,2004291,
C01565,Blood pressure systolic measurement,BldPressrSystMeasr,Measurement of pressure of the participant's blood against the artery walls during systole (the contraction phase) in millimeters of mercury (mmHg),Measurement of pressure of the participant's blood against the artery walls during systole (the contraction phase) in millimeters of mercury (mmHg),Blood pressure,,,Numeric Values,"Record blood pressure from the blood pressure monitor or measure manually by sphygmanometry. The suggested range is 0-300 mmHg. Add date stamp for when assessed.When hourly values are documented, we recommend to take readings at a fixed time point, for example the last minute of the hour. Exclude values which may be influenced by artifacts. The injured brain is often not able to pressure autoregulate normally, adequate perfusion may be more dependent on perfusion pressure; lower blood pressure and low perfusion pressure can aggravate ischemic damage to the injured brain whilst conversely a high blood pressure may lead to increased intracranial pressure and carries an increased risk of neurogenic lung edema. Hypotensive episodes before and after admission adversely affect outcome. In patients with severe traumatic brain injury, routine calculation of the cerebral perfusion pressure on an hourly basis is recommended. Pediatric-specific notes: This element is recommended for pediatric studies. As a minimum, vital signs should be recorded on admission and further, on a daily basis during the acute phase after injury. For the basic datasets, we recommend recording the average and lowest blood pressure over a given period. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (intermediate data set).","Management and prognosis of severe traumatic brain injury, J Neurotrauma 2000;17:591-595. Butcher I, Maas AI, Lu J , et al. Prognostic value of admission blood pressure in traumatic brain injury: results from the IMPACT study. J Neurotrauma. Feb 2007;24(2):294-302. Murray GD, Butcher I, McHugh GS, et al. Multivariate prognostic analysis in traumatic brain injury. J Neurotrauma. Feb 2007;24(2):329-377.",Adult;Pediatric,Supplemental,3.1,40:09.0,Vital Signs and Blood Gases,Vital Signs and Other Body Measures,Assessments and Examinations,,Free-Form Entry,0,300,millimeter of mercury,,,2004289,C25298
C01554,Oxygen saturation measurement,O2SatMeasr,"Value, as a percent, of baseline O2 saturation (SPO2) in nocturnal oximetry, as part of Nocturnal Oximetry","Value, as a percent, of baseline O2 saturation (SPO2) in nocturnal oximetry, as part of Nocturnal Oximetr",Oxygen saturation (%),,,Numeric Values,The suggested range is 0-100. Add date stamp for when assessed. Recommended for collection on admission and daily as required by protocol.,No references available,Adult;Pediatric,Supplemental,3,57:17.8,Vital Signs and Blood Gases,Vital Signs and Other Body Measures,Assessments and Examinations,,Free-Form Entry,0,100,percent,,,,
C01541,Weight measurement,WgtMeasr,Measurement of participant's weight,Measurement of participant's weight,Weight,,,Numeric Values,"The suggested range is 0-500 kg or 0-1000 lbs. Height and weight can be measured or estimated upon admission, or alternatively information may be obtained from relatives. Add date stamp for when assessed.    Recommend collection at least on date of TBI. Documentation of height and weight is motivated by two reasons: 1. the risk of (systemic) complications is greater in the presence of obesity; 2. body weight is important for calculating required doses of (study) medications.",No references available,Adult;Pediatric,Supplemental,3.1,49:21.0,Height and Weight,Vital Signs and Other Body Measures,Assessments and Examinations,,Free-Form Entry,0,500,kilogram,,,2179689,
C01581,Weight unit of measure,WgtUoM,Unit of measure for the weight numerical value,Unit of measure for the weight numerical value,Weight measurement,Pounds;Kilograms,Pounds;Kilograms,Alphanumeric,"Record the weight of the participant/subject. To be collected at the visit, not self-reported. If the participant/subject is in a wheelchair, measure the weight of the participant/subject plus the wheelchair, then the weight of the wheelchair alone to get the weight of the individual.",No references available,Adult;Pediatric,Supplemental,3,54:08.2,Height and Weight,Vital Signs and Other Body Measures,Assessments and Examinations,,Single Pre-Defined Value Selected,,,,,,2630200,
C01546,Weight measurement method type,WgtMeasrMethdTyp,Type of method use to measure the participant's/subject's body weight,Type of method use to measure the participant's/subject's body weight,Weight: Measurement Type,Self-reported;Measured,Self-reported;Measured,Alphanumeric,"Choose one. Height and weight can be measured or estimated upon admission, or alternatively information may be obtained from relatives.  Documentation of height and weight is motivated by two reasons: 1. the risk of (systemic) complications is greater in the presence of obesity; 2. body weight is important for calculating required doses of (study) medications.",No references available,Adult;Pediatric,Supplemental,3,21:25.6,Height and Weight,Vital Signs and Other Body Measures,Assessments and Examinations,,Single Pre-Defined Value Selected,,,,,,,
C01522,Height measurement,HgtMeasr,Measurement of participant's height,Measurement of participant's height,Height,,,Numeric Values,"The suggested range is 0-500 cm or 0-100 inches. Height and weight can be measured or estimated upon admission, or alternatively information may be obtained from relatives. Add date stamp for when assessed.  Documentation of height and weight is motivated by two reasons: 1. the risk of (systemic) complications is greater in the presence of obesity; 2. body weight is important for calculating required doses of (study) medications.",No references available,Adult;Pediatric,Supplemental,3.1,49:20.0,Height and Weight,Vital Signs and Other Body Measures,Assessments and Examinations,,Free-Form Entry,0,400,centimeter,,,649,
C01582,Height unit of measure,HgtUOM,Unit of measure for the height numerical value for participant,Unit of measure for the height numerical value for participant,Unit of measure for height,feet;meters;Inches;Centimeters,feet;meters;Inches;Centimeters,Alphanumeric,,No references available,Adult;Pediatric,Supplemental,3.1,58:54.0,Height and Weight,Vital Signs and Other Body Measures,Assessments and Examinations,,Single Pre-Defined Value Selected,,,,,,2538920,
